# lane,0,0,200,0
# obstacle,100,0,2.0,2.0
t,true_x,true_y,true_yaw,est_x,est_y,est_yaw,v,throttle,brake,steer,n_obj,obj_x,obj_y
14.70,95.436,0.020,-0.0115,95.720,0.069,-0.0106,1.746,0.000,0.442,-0.0026,1,100.000,-0.000
14.80,95.537,0.018,-0.0116,95.857,0.069,-0.0101,1.550,0.000,0.411,-0.0036,1,100.000,0.000
14.90,95.624,0.017,-0.0119,95.977,0.076,-0.0066,1.368,0.000,0.376,-0.0092,1,100.000,0.000
15.00,95.696,0.017,-0.0123,96.048,0.095,-0.0070,1.224,0.000,0.352,-0.0134,1,100.000,0.000
15.10,95.755,0.016,-0.0125,96.142,0.093,-0.0086,1.068,0.000,0.319,-0.0117,1,100.000,0.000
15.20,95.803,0.015,-0.0127,96.226,0.094,-0.0081,0.947,0.000,0.299,-0.0130,1,100.000,-0.000
15.30,95.840,0.015,-0.0129,96.292,0.089,-0.0109,0.793,0.000,0.264,-0.0092,1,100.000,0.000
15.40,95.868,0.014,-0.0129,96.330,0.085,-0.0142,0.573,0.000,0.212,-0.0045,1,100.000,-0.000
15.50,95.888,0.014,-0.0130,96.365,0.091,-0.0090,0.461,0.000,0.203,-0.0123,1,100.000,-0.000
15.60,95.900,0.014,-0.0131,96.333,0.114,-0.0078,0.441,0.000,0.211,-0.0190,1,100.000,-0.000
15.70,95.904,0.014,-0.0131,96.365,0.112,-0.0091,0.378,0.000,0.193,-0.0175,1,100.000,0.000
15.80,95.904,0.014,-0.0131,96.368,0.113,-0.0084,0.192,0.000,1.000,-0.0185,1,100.000,0.000
15.90,95.904,0.014,-0.0131,96.375,0.110,-0.0121,0.126,0.000,1.000,-0.0136,1,100.000,0.000
16.00,95.904,0.014,-0.0131,96.381,0.110,-0.0121,0.089,0.000,1.000,-0.0136,1,100.000,0.000
16.10,95.904,0.014,-0.0131,96.390,0.110,-0.0112,0.089,0.000,1.000,-0.0149,1,100.000,0.000
16.20,95.904,0.014,-0.0131,96.387,0.100,-0.0099,0.068,0.000,1.000,-0.0138,1,100.000,0.000
16.30,95.904,0.014,-0.0131,96.400,0.101,-0.0090,0.106,0.000,1.000,-0.0152,1,100.000,0.000
16.40,95.904,0.014,-0.0131,96.411,0.102,-0.0054,0.103,0.000,1.000,-0.0199,1,100.000,0.000
16.50,95.904,0.014,-0.0131,96.419,0.101,-0.0084,0.094,0.000,1.000,-0.0161,1,100.000,0.000
16.60,95.904,0.014,-0.0131,96.411,0.101,-0.0078,0.003,0.000,1.000,-0.0167,1,100.000,0.000
16.70,95.904,0.014,-0.0131,96.358,0.098,-0.0127,0.042,0.000,1.000,-0.0098,1,100.000,0.000
16.80,95.904,0.014,-0.0131,96.359,0.098,-0.0122,0.025,0.000,1.000,-0.0104,1,100.000,0.000
16.90,95.904,0.014,-0.0131,96.353,0.099,-0.0110,-0.018,0.000,1.000,-0.0119,1,100.000,0.000
17.00,95.904,0.014,-0.0131,96.349,0.099,-0.0078,-0.029,0.000,1.000,-0.0157,1,100.000,0.000
17.10,95.904,0.014,-0.0131,96.340,0.099,-0.0076,-0.062,0.000,1.000,-0.0160,1,100.000,0.000
17.20,95.904,0.014,-0.0131,96.302,0.078,-0.0065,-0.024,0.000,1.000,-0.0115,1,100.000,0.000
17.30,95.904,0.014,-0.0131,96.304,0.078,-0.0066,0.000,0.000,1.000,-0.0114,1,100.000,0.000
17.40,95.904,0.014,-0.0131,96.301,0.077,-0.0113,-0.017,0.000,1.000,-0.0059,1,100.000,0.000
17.50,95.904,0.014,-0.0131,96.312,0.077,-0.0107,0.054,0.000,1.000,-0.0066,1,100.000,0.000
17.60,95.904,0.014,-0.0131,96.327,0.077,-0.0056,0.104,0.000,1.000,-0.0126,1,100.000,0.000
17.70,95.904,0.014,-0.0131,96.279,0.074,-0.0105,0.013,0.000,1.000,-0.0058,1,100.000,0.000
17.80,95.904,0.014,-0.0131,96.268,0.073,-0.0144,-0.055,0.000,1.000,-0.0012,1,100.000,0.000
17.90,95.904,0.014,-0.0131,96.261,0.074,-0.0115,-0.063,0.000,1.000,-0.0046,1,100.000,0.000
18.00,95.904,0.014,-0.0131,96.264,0.074,-0.0115,-0.013,0.000,1.000,-0.0046,1,100.000,0.000
18.10,95.904,0.014,-0.0131,96.271,0.074,-0.0109,0.026,0.000,1.000,-0.0054,1,100.000,0.000
18.20,95.904,0.014,-0.0131,96.260,0.050,-0.0132,0.073,0.000,1.000,0.0031,1,100.000,0.000
18.30,95.904,0.014,-0.0131,96.262,0.049,-0.0185,0.046,0.000,1.000,0.0092,1,100.000,0.000
18.40,95.904,0.014,-0.0131,96.257,0.050,-0.0119,-0.004,0.000,1.000,0.0016,1,100.000,0.000
18.50,95.904,0.014,-0.0131,96.276,0.049,-0.0129,0.099,0.000,1.000,0.0028,1,100.000,0.000
18.60,95.904,0.014,-0.0131,96.291,0.049,-0.0133,0.123,0.000,1.000,0.0032,1,100.000,0.000
18.70,95.904,0.014,-0.0131,96.272,0.053,-0.0122,0.098,0.000,1.000,0.0010,1,100.000,0.000
18.80,95.904,0.014,-0.0131,96.280,0.053,-0.0158,0.092,0.000,1.000,0.0052,1,100.000,0.000
18.90,95.904,0.014,-0.0131,96.274,0.053,-0.0166,0.009,0.000,1.000,0.0061,1,100.000,0.000
19.00,95.904,0.014,-0.0131,96.282,0.053,-0.0124,0.047,0.000,1.000,0.0012,1,100.000,0.000
19.10,95.904,0.014,-0.0131,96.288,0.053,-0.0130,0.054,0.000,1.000,0.0020,1,100.000,0.000
19.20,95.904,0.014,-0.0131,96.255,0.069,-0.0142,0.021,0.000,1.000,-0.0004,1,100.000,0.000
19.30,95.904,0.014,-0.0131,96.253,0.069,-0.0160,-0.001,0.000,1.000,0.0017,1,100.000,0.000
19.40,95.904,0.014,-0.0131,96.248,0.069,-0.0126,-0.028,0.000,1.000,-0.0022,1,100.000,0.000
19.50,95.904,0.014,-0.0131,96.251,0.069,-0.0094,0.004,0.000,1.000,-0.0058,1,100.000,0.000
19.60,95.904,0.014,-0.0131,96.241,0.069,-0.0121,-0.050,0.000,1.000,-0.0027,1,100.000,0.000
19.70,95.904,0.014,-0.0131,96.210,0.038,-0.0104,-0.129,0.000,1.000,0.0029,1,100.000,0.000
19.80,95.904,0.014,-0.0131,96.200,0.038,-0.0122,-0.116,0.000,1.000,0.0049,1,100.000,0.000
19.90,95.904,0.014,-0.0131,96.191,0.038,-0.0158,-0.101,0.000,1.000,0.0089,1,100.000,0.000
20.00,95.904,0.014,-0.0131,96.194,0.038,-0.0145,-0.028,0.000,1.000,0.0074,1,100.000,0.000
20.10,95.904,0.014,-0.0131,96.195,0.038,-0.0142,-0.013,0.000,1.000,0.0071,1,100.000,0.000
20.20,95.904,0.014,-0.0131,96.157,0.057,-0.0169,-0.056,0.000,1.000,0.0058,1,100.000,0.000
20.30,95.904,0.014,-0.0131,96.143,0.057,-0.0174,-0.102,0.000,1.000,0.0063,1,100.000,0.000
20.40,95.904,0.014,-0.0131,96.129,0.057,-0.0177,-0.124,0.000,1.000,0.0065,1,100.000,0.000
20.50,95.904,0.014,-0.0131,96.129,0.057,-0.0128,-0.057,0.000,1.000,0.0011,1,100.000,0.000
20.60,95.904,0.014,-0.0131,96.137,0.057,-0.0064,0.017,0.000,1.000,-0.0058,1,100.000,0.000
20.70,95.904,0.014,-0.0131,96.126,0.051,-0.0090,0.010,0.000,1.000,-0.0017,1,100.000,0.000
20.80,95.904,0.014,-0.0131,96.135,0.051,-0.0101,0.055,0.000,1.000,-0.0005,1,100.000,0.000
20.90,95.904,0.014,-0.0131,96.138,0.051,-0.0081,0.040,0.000,1.000,-0.0027,1,100.000,0.000
21.00,95.904,0.014,-0.0131,96.139,0.051,-0.0081,0.027,0.000,1.000,-0.0026,1,100.000,0.000
21.10,95.904,0.014,-0.0131,96.131,0.051,-0.0066,-0.030,0.000,1.000,-0.0043,1,100.000,0.000
21.20,95.904,0.014,-0.0131,96.150,0.056,-0.0068,0.039,0.000,1.000,-0.0053,1,100.000,0.000
21.30,95.904,0.014,-0.0131,96.154,0.056,-0.0101,0.041,0.000,1.000,-0.0016,1,100.000,0.000
21.40,95.904,0.014,-0.0131,96.164,0.056,-0.0112,0.073,0.000,1.000,-0.0004,1,100.000,0.000
21.50,95.904,0.014,-0.0131,96.172,0.056,-0.0093,0.075,0.000,1.000,-0.0025,1,100.000,0.000
21.60,95.904,0.014,-0.0131,96.164,0.056,-0.0090,-0.002,0.000,1.000,-0.0028,1,100.000,0.000
21.70,95.904,0.014,-0.0131,96.177,0.042,-0.0070,0.038,0.000,1.000,-0.0020,1,100.000,0.000
21.80,95.904,0.014,-0.0131,96.176,0.042,-0.0084,0.013,0.000,1.000,-0.0004,1,100.000,0.000
21.90,95.904,0.014,-0.0131,96.178,0.042,-0.0089,0.017,0.000,1.000,0.0001,1,100.000,0.000
22.00,95.904,0.014,-0.0131,96.194,0.042,-0.0099,0.089,0.000,1.000,0.0012,1,100.000,0.000
22.10,95.904,0.014,-0.0131,96.179,0.042,-0.0076,-0.037,0.000,1.000,-0.0013,1,100.000,0.000
22.20,95.904,0.014,-0.0131,96.175,0.060,-0.0096,-0.058,0.000,1.000,-0.0031,1,100.000,0.000
22.30,95.904,0.014,-0.0131,96.184,0.060,-0.0069,0.025,0.000,1.000,-0.0062,1,100.000,0.000
22.40,95.904,0.014,-0.0131,96.184,0.060,-0.0044,0.011,0.000,1.000,-0.0089,1,100.000,0.000
22.50,95.904,0.014,-0.0131,96.180,0.060,-0.0052,-0.016,0.000,1.000,-0.0081,1,100.000,0.000
22.60,95.904,0.014,-0.0131,96.174,0.060,-0.0084,-0.041,0.000,1.000,-0.0044,1,100.000,0.000
22.70,95.904,0.014,-0.0131,96.183,0.061,-0.0036,0.002,0.000,1.000,-0.0103,1,100.000,0.000
22.80,95.904,0.014,-0.0131,96.171,0.061,-0.0056,-0.062,0.000,1.000,-0.0079,1,100.000,0.000
22.90,95.904,0.014,-0.0131,96.163,0.061,-0.0070,-0.075,0.000,1.000,-0.0064,1,100.000,0.000
23.00,95.904,0.014,-0.0131,96.165,0.061,-0.0079,-0.024,0.000,1.000,-0.0054,1,100.000,0.000
23.10,95.904,0.014,-0.0131,96.174,0.061,-0.0072,0.036,0.000,1.000,-0.0062,1,100.000,0.000
23.20,95.904,0.014,-0.0131,96.155,0.063,-0.0085,-0.019,0.000,1.000,-0.0049,1,100.000,0.000
